MSSV,Student_Profile,Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,Risk_Score,Risk_Level,OJT_Delay_Risk,OJT_Eligible,OJT_Readiness,AI_Recommendation
SE1800001,Average,1,6.27,120,17,103,14.17,17.0,83,1,1,2,0,0,5,9,Medium,0,False,31.5,Complete at least 83 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800002,Excellent,3,9.26,120,54,66,45.0,18.0,46,0,0,0,0,0,5,3,Low,0,False,67.0,Complete at least 46 more credits.
SE1800003,AtRisk,3,5.42,120,40,80,33.33,13.33,60,3,4,2,1,0,6,15,High,1,False,26.0,Complete at least 60 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800004,Excellent,6,9.41,120,105,15,87.5,17.5,0,0,0,0,0,0,7,0,Low,0,True,92.5,You are ready for OJT.
SE1800005,Average,5,6.05,120,87,33,72.5,17.4,13,2,1,0,0,0,7,4,Low,0,False,75.5,Complete at least 13 more credits. Retake failed courses as soon as possible.
SE1800006,Average,6,6.16,120,103,17,85.83,17.17,0,1,3,2,0,0,6,7,Medium,0,False,70.5,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800007,Good,4,8.47,120,78,42,65.0,19.5,22,0,2,1,0,0,5,5,Low,0,False,69.0,Complete at least 22 more credits. Complete all prerequisite courses.
SE1800008,AtRisk,4,5.07,120,68,52,56.67,17.0,32,5,5,1,2,1,6,19,High,1,False,25.0,Complete at least 32 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800009,Good,2,8.11,120,42,78,35.0,21.0,58,1,2,1,0,0,5,7,Medium,0,False,48.0,Complete at least 58 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800010,LateStarter,2,6.69,120,34,86,28.33,17.0,66,2,2,0,0,0,5,6,Medium,0,False,47.0,Complete at least 66 more credits. Retake failed courses as soon as possible.
